BK001,KH001,P101,01/06/2026,03/06/2026,2
BK002,KH002,P102,01/06/2026,05/06/2026,2
BK003,KH003,P103,02/06/2026,04/06/2026,2
BK004,KH004,P201,03/06/2026,04/06/2026,2
BK005,KH005,P202,04/06/2026,06/06/2026,2
BK006,KH006,P203,05/06/2026,08/06/2026,2
BK007,KH007,P301,06/06/2026,07/06/2026,2
BK008,KH008,P302,07/06/2026,09/06/2026,2
BK009,KH009,P303,08/06/2026,09/06/2026,2
BK010,KH010,P401,09/06/2026,11/06/2026,2
BK011,KH011,P401,02/06/2026,05/06/2026,3
BK012,KH011,P303,02/06/2026,05/06/2026,2
BK013,KH011,P401,02/06/2026,03/06/2026,2
BK014,KH002,P303,02/06/2026,10/06/2026,3
BK015,KH001,P103,02/06/2026,07/06/2026,1
BK016,KH003,P301,02/06/2026,03/06/2026,1
BK017,KH001,P401,02/06/2026,03/06/2026,3
BK018,KH010,P401,02/06/2026,04/06/2026,1
BK019,KH011,P302,02/06/2026,03/06/2026,2
BK020,KH012,P402,02/06/2026,04/06/2026,3
BK021,KH012,P402,02/06/2026,05/06/2026,1
BK022,KH012,P302,02/06/2026,03/06/2026,2
BK023,KH012,P303,02/06/2026,03/06/2026,2
BK024,KH001,P203,02/06/2026,06/06/2026,3
BK025,KH011,P202,02/06/2026,04/06/2026,2
BK026,KH001,P303,03/06/2026,04/06/2026,2
BK027,KH001,P101,04/06/2026,05/06/2026,1
